Campaign_ID,Campaign_Name,Campaign_Type,Start_Date,End_Date,Region,Location,Channel,Budget,Spend,Leads_Generated,Leads_Converted,Conversion_Rate,Cost_Per_Lead,Year
1000,Events - Trade Show 2020,Events,2020-04-12,2020-04-19,North America,"Toronto, ON",Trade Show,11284.0,8922.0,65,22,33.85,137.26,2020
1001,Paid Search - Google Ads 2020,Paid Search,2020-10-20,2020-11-10,EMEA,"Dublin, IE",Google Ads,28055.0,28055.0,247,120,48.58,113.58,2020
1002,Email - Newsletter 2020,Email,2020-08-23,2020-09-06,North America,"Dallas, TX",Newsletter,9728.0,8172.0,287,46,16.03,28.47,2020
1003,Paid Search - Google Ads 2020,Paid Search,2020-06-23,2020-08-11,EMEA,"Dublin, IE",Google Ads,73810.0,61200.0,325,111,34.15,188.31,2020
1004,SEO - Organic Search 2020,SEO,2020-11-02,2020-12-28,EMEA,"Amsterdam, NL",Organic Search,19356.0,13501.0,156,37,23.72,86.54,2020
1005,Webinar - Product Demo 2020,Webinar,2020-09-20,2020-11-15,North America,"Dallas, TX",Product Demo,24541.0,22842.0,497,255,51.31,45.96,2020
1006,SEO - Organic Search 2020,SEO,2020-02-23,2020-03-15,North America,"Chicago, IL",Organic Search,8843.0,7396.0,61,12,19.67,121.25,2020
1007,Display - Retargeting 2020,Display,2020-07-08,2020-08-19,North America,"Dallas, TX",Retargeting,30247.0,29199.0,44,3,6.82,663.61,2020
1008,Paid Search - Bing Ads 2020,Paid Search,2020-09-08,2020-10-13,APAC,"Seoul, KR",Bing Ads,28571.0,21087.0,650,253,38.92,32.44,2020
1009,Content - Blog 2020,Content,2020-03-03,2020-03-31,EMEA,"Dublin, IE",Blog,8618.0,7739.0,227,52,22.91,34.09,2020
1010,Display - Retargeting 2020,Display,2020-08-18,2020-09-08,North America,"New York, NY",Retargeting,29662.0,27045.0,17,1,5.88,1590.88,2020
1011,Content - Case Study 2020,Content,2020-04-08,2020-05-13,EMEA,"Paris, FR",Case Study,13965.0,13770.0,103,30,29.13,133.69,2020
1012,Paid Search - Bing Ads 2020,Paid Search,2020-05-10,2020-05-24,North America,"Chicago, IL",Bing Ads,37412.0,33338.0,167,60,35.93,199.63,2020
1013,Referral - Partner Program 2020,Referral,2020-06-27,2020-08-22,APAC,"Bengaluru, IN",Partner Program,899.0,899.0,193,92,47.67,4.66,2020
1014,Webinar - Product Demo 2020,Webinar,2020-08-18,2020-09-29,EMEA,"Paris, FR",Product Demo,11678.0,10388.0,794,459,57.81,13.08,2020
1015,Webinar - Product Demo 2020,Webinar,2020-05-13,2020-06-17,North America,"Toronto, ON",Product Demo,39723.0,29695.0,582,281,48.28,51.02,2020
1016,Email - Newsletter 2020,Email,2020-12-13,2020-12-27,North America,"Chicago, IL",Newsletter,5668.0,5668.0,410,94,22.93,13.82,2020
1017,Email - Newsletter 2020,Email,2020-12-24,2020-12-31,North America,"New York, NY",Newsletter,7575.0,5913.0,55,5,9.09,107.51,2020
1018,SEO - Organic Search 2020,SEO,2020-06-20,2020-08-15,APAC,"Bengaluru, IN",Organic Search,12994.0,12618.0,59,10,16.95,213.86,2020
1019,Content - eBook 2020,Content,2020-09-24,2020-11-12,APAC,"Tokyo, JP",eBook,14649.0,13986.0,139,19,13.67,100.62,2020
1020,Paid Search - Bing Ads 2020,Paid Search,2020-04-22,2020-05-13,APAC,"Seoul, KR",Bing Ads,57505.0,48362.0,417,155,37.17,115.98,2020
1021,Paid Search - Google Ads 2020,Paid Search,2020-06-20,2020-07-11,North America,"San Jose, CA",Google Ads,58559.0,51068.0,554,310,55.96,92.18,2020
1022,Webinar - Thought Leadership 2020,Webinar,2020-05-02,2020-05-16,North America,"New York, NY",Thought Leadership,35342.0,35252.0,795,508,63.9,44.34,2020
1023,SEO - Organic Search 2020,SEO,2020-05-03,2020-05-31,North America,"New York, NY",Organic Search,16589.0,15493.0,160,37,23.12,96.83,2020
1024,Webinar - Thought Leadership 2020,Webinar,2020-12-11,2020-12-31,APAC,"Singapore, SG",Thought Leadership,40206.0,28354.0,731,490,67.03,38.79,2020
1025,Paid Search - Google Ads 2020,Paid Search,2020-05-08,2020-06-05,North America,"Dallas, TX",Google Ads,28155.0,27755.0,568,338,59.51,48.86,2020
1026,Email - Newsletter 2020,Email,2020-04-08,2020-06-03,EMEA,"Amsterdam, NL",Newsletter,7883.0,6111.0,102,10,9.8,59.91,2020
1027,Webinar - Thought Leadership 2020,Webinar,2020-05-19,2020-06-30,EMEA,"Amsterdam, NL",Thought Leadership,39855.0,37722.0,477,289,60.59,79.08,2020
1028,Display - Programmatic 2020,Display,2020-05-10,2020-06-14,APAC,"Bengaluru, IN",Programmatic,13295.0,12147.0,46,5,10.87,264.07,2020
1029,SEO - Organic Search 2020,SEO,2020-12-14,2020-12-31,EMEA,"Paris, FR",Organic Search,19207.0,18395.0,208,59,28.37,88.44,2020
1030,Paid Search - Google Ads 2020,Paid Search,2020-06-09,2020-07-14,North America,"San Jose, CA",Google Ads,43328.0,36226.0,416,220,52.88,87.08,2020
1031,Display - Programmatic 2020,Display,2020-02-02,2020-03-08,APAC,"Sydney, AU",Programmatic,26830.0,19012.0,82,7,8.54,231.85,2020
1032,Email - Newsletter 2020,Email,2020-09-20,2020-10-18,North America,"Toronto, ON",Newsletter,9150.0,9150.0,186,23,12.37,49.19,2020
1033,Paid Search - Google Ads 2020,Paid Search,2020-10-30,2020-11-27,EMEA,"Dublin, IE",Google Ads,76835.0,56476.0,425,268,63.06,132.88,2020
1034,Email - Drip Sequence 2020,Email,2020-06-06,2020-07-18,North America,"Dallas, TX",Drip Sequence,3069.0,3049.0,64,15,23.44,47.64,2020
1035,Social - LinkedIn Ads 2020,Social,2020-04-25,2020-06-20,APAC,"Sydney, AU",LinkedIn Ads,15492.0,13921.0,133,23,17.29,104.67,2020
1036,Paid Search - Google Ads 2020,Paid Search,2020-01-18,2020-02-01,APAC,"Bengaluru, IN",Google Ads,55942.0,55942.0,202,127,62.87,276.94,2020
1037,SEO - Organic Search 2020,SEO,2020-05-06,2020-06-03,APAC,"Seoul, KR",Organic Search,17616.0,17616.0,106,16,15.09,166.19,2020
1038,Paid Search - Google Ads 2020,Paid Search,2020-09-02,2020-10-28,North America,"New York, NY",Google Ads,74748.0,51411.0,680,329,48.38,75.6,2020
1039,Webinar - Product Demo 2020,Webinar,2020-11-08,2020-12-13,APAC,"Tokyo, JP",Product Demo,14780.0,10928.0,621,407,65.54,17.6,2020
1040,Social - X Promoted 2020,Social,2020-05-22,2020-06-26,EMEA,"Berlin, DE",X Promoted,18121.0,13770.0,108,24,22.22,127.5,2020
1041,Webinar - Thought Leadership 2020,Webinar,2020-02-27,2020-04-16,APAC,"Sydney, AU",Thought Leadership,41024.0,33955.0,347,147,42.36,97.85,2020
1042,Social - LinkedIn Ads 2020,Social,2020-09-20,2020-11-01,North America,"Chicago, IL",LinkedIn Ads,27075.0,19723.0,63,10,15.87,313.06,2020
1043,Paid Search - Google Ads 2020,Paid Search,2020-12-20,2020-12-31,North America,"New York, NY",Google Ads,27079.0,26060.0,164,89,54.27,158.9,2020
1044,Email - Newsletter 2020,Email,2020-05-26,2020-06-09,North America,"Dallas, TX",Newsletter,2119.0,1569.0,84,8,9.52,18.68,2020
1045,Paid Search - Google Ads 2020,Paid Search,2020-05-06,2020-05-20,North America,"Toronto, ON",Google Ads,54699.0,45815.0,353,163,46.18,129.79,2020
1046,Email - Newsletter 2020,Email,2020-04-05,2020-05-24,North America,"San Jose, CA",Newsletter,7237.0,6083.0,394,77,19.54,15.44,2020
1047,Email - Drip Sequence 2020,Email,2020-03-09,2020-04-27,EMEA,"Dublin, IE",Drip Sequence,9004.0,8315.0,389,44,11.31,21.38,2020
1048,Paid Search - Google Ads 2020,Paid Search,2020-03-26,2020-04-09,North America,"San Jose, CA",Google Ads,47932.0,37937.0,190,106,55.79,199.67,2020
1049,Paid Search - Bing Ads 2020,Paid Search,2020-12-06,2020-12-31,EMEA,"Paris, FR",Bing Ads,46211.0,38616.0,437,150,34.32,88.37,2020
1050,Webinar - Product Demo 2020,Webinar,2020-09-02,2020-10-14,APAC,"Bengaluru, IN",Product Demo,41843.0,35539.0,711,422,59.35,49.98,2020
1051,Paid Search - Google Ads 2020,Paid Search,2020-01-16,2020-03-12,EMEA,"London, UK",Google Ads,50977.0,31266.0,260,148,56.92,120.25,2020
1052,Paid Search - Bing Ads 2020,Paid Search,2020-06-26,2020-07-24,EMEA,"Berlin, DE",Bing Ads,55195.0,44063.0,282,175,62.06,156.25,2020
1053,Paid Search - Bing Ads 2020,Paid Search,2020-11-25,2020-12-23,North America,"Dallas, TX",Bing Ads,44107.0,37150.0,52,17,32.69,714.42,2020
1054,Content - Blog 2020,Content,2020-08-29,2020-09-26,APAC,"Bengaluru, IN",Blog,13966.0,11352.0,147,25,17.01,77.22,2020
1055,SEO - Organic Search 2020,SEO,2020-07-14,2020-08-04,EMEA,"London, UK",Organic Search,12668.0,10018.0,326,80,24.54,30.73,2020
1056,Social - Facebook Ads 2020,Social,2020-10-03,2020-11-14,APAC,"Singapore, SG",Facebook Ads,16672.0,16672.0,101,16,15.84,165.07,2020
1057,Email - Newsletter 2020,Email,2020-04-05,2020-05-31,North America,"San Jose, CA",Newsletter,9630.0,9630.0,462,97,21.0,20.84,2020
1058,Paid Search - Bing Ads 2020,Paid Search,2020-12-20,2020-12-31,North America,"San Jose, CA",Bing Ads,82893.0,82893.0,273,98,35.9,303.64,2020
1059,Social - Facebook Ads 2020,Social,2020-04-09,2020-05-14,EMEA,"Paris, FR",Facebook Ads,12400.0,12205.0,39,9,23.08,312.95,2020
1060,SEO - Organic Search 2020,SEO,2020-02-21,2020-03-20,EMEA,"Dublin, IE",Organic Search,16769.0,12954.0,247,40,16.19,52.45,2020
1061,Paid Search - Google Ads 2020,Paid Search,2020-02-22,2020-04-18,North America,"Dallas, TX",Google Ads,21167.0,19664.0,615,384,62.44,31.97,2020
1062,SEO - Organic Search 2020,SEO,2020-08-10,2020-08-31,North America,"New York, NY",Organic Search,15690.0,15690.0,50,12,24.0,313.8,2020
1063,Email - Newsletter 2020,Email,2020-09-09,2020-10-28,APAC,"Singapore, SG",Newsletter,3542.0,3132.0,102,22,21.57,30.71,2020
1064,Display - Programmatic 2020,Display,2020-05-01,2020-05-22,North America,"Chicago, IL",Programmatic,24924.0,22799.0,37,4,10.81,616.19,2020
1065,Email - Drip Sequence 2020,Email,2020-11-22,2020-12-06,EMEA,"Berlin, DE",Drip Sequence,3324.0,2780.0,435,72,16.55,6.39,2020
1066,Paid Search - Google Ads 2020,Paid Search,2020-12-29,2020-12-31,APAC,"Singapore, SG",Google Ads,46790.0,38710.0,315,174,55.24,122.89,2020
1067,Email - Drip Sequence 2020,Email,2020-11-12,2020-12-31,North America,"New York, NY",Drip Sequence,3384.0,3215.0,315,77,24.44,10.21,2020
1068,Display - Programmatic 2020,Display,2020-07-09,2020-08-13,North America,"Toronto, ON",Programmatic,35016.0,18927.0,25,3,12.0,757.08,2020
1069,Webinar - Thought Leadership 2020,Webinar,2020-11-12,2020-12-31,North America,"Toronto, ON",Thought Leadership,30559.0,29795.0,217,120,55.3,137.3,2020
1070,Webinar - Product Demo 2020,Webinar,2020-01-20,2020-02-03,EMEA,"London, UK",Product Demo,16190.0,14256.0,462,304,65.8,30.86,2020
1071,Email - Newsletter 2020,Email,2020-01-12,2020-02-02,APAC,"Bengaluru, IN",Newsletter,4783.0,4241.0,75,14,18.67,56.55,2020
1072,Email - Drip Sequence 2020,Email,2020-01-08,2020-01-29,EMEA,"Berlin, DE",Drip Sequence,7467.0,6065.0,60,14,23.33,101.08,2020
1073,Social - Facebook Ads 2020,Social,2020-07-10,2020-08-07,APAC,"Sydney, AU",Facebook Ads,19837.0,13595.0,95,21,22.11,143.11,2020
1074,Paid Search - Google Ads 2020,Paid Search,2020-08-07,2020-09-18,APAC,"Sydney, AU",Google Ads,50466.0,50466.0,365,217,59.45,138.26,2020
1075,SEO - Organic Search 2020,SEO,2020-09-07,2020-10-19,EMEA,"London, UK",Organic Search,10124.0,8568.0,190,39,20.53,45.09,2020
1076,Webinar - Product Demo 2020,Webinar,2020-08-26,2020-09-09,APAC,"Seoul, KR",Product Demo,33833.0,28044.0,600,241,40.17,46.74,2020
1077,Webinar - Product Demo 2020,Webinar,2020-01-06,2020-02-10,EMEA,"Paris, FR",Product Demo,28384.0,27948.0,681,383,56.24,41.04,2020
1078,SEO - Organic Search 2020,SEO,2020-02-22,2020-04-04,APAC,"Seoul, KR",Organic Search,9809.0,9400.0,117,20,17.09,80.34,2020
1079,Webinar - Product Demo 2020,Webinar,2020-09-16,2020-11-04,APAC,"Bengaluru, IN",Product Demo,14544.0,11639.0,427,179,41.92,27.26,2020
1080,Events - Trade Show 2020,Events,2020-06-02,2020-06-16,APAC,"Bengaluru, IN",Trade Show,28538.0,21984.0,684,224,32.75,32.14,2020
1081,Webinar - Product Demo 2020,Webinar,2020-03-15,2020-04-12,North America,"Toronto, ON",Product Demo,28732.0,28732.0,727,421,57.91,39.52,2020
1082,SEO - Organic Search 2020,SEO,2020-11-30,2020-12-28,EMEA,"Amsterdam, NL",Organic Search,15929.0,15929.0,322,57,17.7,49.47,2020
1083,Paid Search - Google Ads 2020,Paid Search,2020-04-15,2020-05-13,APAC,"Singapore, SG",Google Ads,63088.0,53036.0,592,346,58.45,89.59,2020
1084,Social - Facebook Ads 2020,Social,2020-09-29,2020-11-03,EMEA,"Berlin, DE",Facebook Ads,27355.0,23575.0,30,5,16.67,785.83,2020
1085,Paid Search - Bing Ads 2020,Paid Search,2020-04-20,2020-05-04,North America,"Dallas, TX",Bing Ads,44214.0,35015.0,429,232,54.08,81.62,2020
1086,Paid Search - Bing Ads 2020,Paid Search,2020-12-25,2020-12-31,North America,"Dallas, TX",Bing Ads,62679.0,53346.0,148,57,38.51,360.45,2020
1087,Content - Case Study 2020,Content,2020-10-03,2020-11-14,APAC,"Tokyo, JP",Case Study,8585.0,7660.0,158,24,15.19,48.48,2020
1088,SEO - Organic Search 2020,SEO,2020-08-20,2020-09-24,APAC,"Singapore, SG",Organic Search,7393.0,7150.0,143,29,20.28,50.0,2020
1089,Display - Programmatic 2020,Display,2020-08-01,2020-09-26,APAC,"Tokyo, JP",Programmatic,26262.0,20260.0,13,1,7.69,1558.46,2020
1090,Paid Search - Google Ads 2020,Paid Search,2020-04-22,2020-05-20,APAC,"Tokyo, JP",Google Ads,76746.0,76746.0,183,80,43.72,419.38,2020
1091,Webinar - Thought Leadership 2020,Webinar,2020-08-03,2020-08-24,EMEA,"London, UK",Thought Leadership,26748.0,19923.0,578,343,59.34,34.47,2020
1092,Social - LinkedIn Ads 2020,Social,2020-08-25,2020-09-22,APAC,"Singapore, SG",LinkedIn Ads,10870.0,7617.0,123,18,14.63,61.93,2020
1093,Content - Blog 2020,Content,2020-01-28,2020-02-18,North America,"Toronto, ON",Blog,4062.0,3623.0,87,19,21.84,41.64,2020
